Date;Company;Assets
30.09.2005;9;33655,8
30.06.2005;9;26399,7
31.03.2005;9;26434,1
31.12.2004;9;23993
30.09.2004;9;25559,1
30.06.2004;9;26168,4
31.03.2004;9;27790,2
31.12.2003;9;27021,8008
30.09.2003;9;30301,7
30.06.2003;9;33853
31.03.2003;9;35442,3
31.12.2002;9;34988,5
30.09.2002;9;35867,7
28.06.2002;9;37565,6
28.03.2002;9;40117,5
31.12.2001;9;38614,2
28.09.2001;9;38213,1
29.06.2001;9;33625,7
30.03.2001;9;36492,6
29.12.2000;9;34776,6
29.09.2000;9;32228,3
30.06.2000;9;28397,1
31.03.2000;9;25799,9
31.12.1999;9;24975,3
30.09.1999;9;21367,6
30.06.1999;9;20012,5
31.03.1999;9;19172,2
31.12.1998;9;18647,3008
30.09.1998;9;17733,9
30.06.1998;9;17572
31.03.1998;9;16413,3
31.12.1997;9;16277,5996
30.09.1997;9;13253,7002
30.06.1997;9;12748,4004
31.03.1997;9;12107,7998
31.12.1996;9;12418,7998
30.09.1996;9;11793,9004
28.06.1996;9;11580,4004
