Date;Company;Stock;Assets to Market Cap;BV Equity to Market Cap;Debt to Equity;Net Income;Oil;Gas;Market;EURUSD;GBPUSD;CNYUSD;JPYUSD;RUBUSD;INRUSD;BRLUSD
31.03.1998;4;0,043020779;-0,028260616;-0,038204305;0,164627598;-0,420571429;-0,115079365;0,113957597;0,069128106;-0,029333578;0,016593727;0;-0,018673283;-0,024249285;-0,00744806;-0,018524718
31.12.1997;4;-0,072988324;0,080145872;0,106623153;-0,047371005;0,203576341;-0,16713881;-0,26541207;-0,055438129;-0,01773816;0,018321367;0,0006628;-0,077127019;-0,01623586;-0,077729573;-0,017864972
30.09.1997;4;0,12341488;-0,099604961;-0,085462353;-0,063473918;-0,116646416;0,06969697;0,440860215;-0,015690101;-0,013238561;-0,030019212;0,000746207;-0,049266728;-0,013529922;-0,009667025;-0,017762945
30.06.1997;4;0,061940395;-0,059011909;-0,036624342;-0,073549081;-0,009626955;-0,02988731;0,1105919;0,111992894;-0,034237172;0,017222426;0,00058072;0,080465462;-0,00967705;0,002152853;-0,015891514
31.03.1997;4;0,071153846;-0,064892996;-0,035512002;-0,019345533;0,790948276;-0,21257716;-0,301414581;-0,030031553;-0,083516829;-0,044690782;0,00033195;-0,06537082;-0,030747031;-0,000717103;-0,019732059
31.12.1996;4;0,037924152;-0,044089556;-0,030033781;-0,111761816;-0,291603053;0,06316653;0,245257453;0,044570157;-0,006872852;0,094997764;0,00041511;-0,037206194;-0,027735808;-0,002146691;-0,016847049
30.09.1996;4;0,061440678;-0,045963644;-0,038931406;-0,011826138;-0,248853211;0,165391969;-0,23943662;-0,012980338;-0,000390351;0,008114897;0,002413449;-0,015031819;-0,053910557;-0,018954019;-0,016765385
31.12.2015;5;-0,031562125;-0,031275745;-0,057832816;0,109220981;5,52688172;-0,178531825;-0,074088748;0,067074624;-0,028182876;-0,025912216;-0,021103483;-0,003116759;-0,103989536;-0,009899692;-0,00315831
30.09.2015;5;-0,251495215;0,37433563;0,420518783;0,037912442;-0,507936508;-0,24180259;-0,108757062;-0,077767498;0,002691307;-0,037169043;-0,023342439;0,021928213;-0,153846154;-0,02983081;-0,213842334
30.06.2015;5;-0,01458671;0,000667895;-0,010496606;0,022775692;0,457583548;0,249369748;0,072727273;-0,010460134;0,038766191;0,060332029;-0,001302003;-0,019341663;0,051804424;-0,020314058;0,030051151
31.03.2015;5;-0,080601463;0,016859164;0,050162614;0,028933584;47,625;-0,106438896;-0,086188993;-0,002484226;-0,112993883;-0,048725685;0,000992987;-0,003710353;-0,002901915;0,01486119;-0,170951497
31.12.2014;5;-0,217345208;0,25265464;0,224243206;0,089982974;-1,007936508;-0,415642826;-0,298956564;0,045696834;-0,042197767;-0,03922778;-0,010865562;-0,083881579;-0,317893903;-0,020927497;-0,077506112
30.09.2014;5;-0,046212964;0,076635984;0,079645851;-0,013774005;0,082706767;-0,134858119;-0,076216095;0,012624647;-0,077490505;-0,052203905;0,010734008;-0,075894214;-0,141400408;-0,030261183;-0,094732182
30.06.2014;5;0,193170849;-0,151530672;-0,140284498;0,084838314;1,411917098;0,037310494;0,020590254;0,022007525;-0,005592272;0,026647461;0,002051728;0,018788066;0,031556802;-0,002694611;0,026118556
31.03.2014;5;-0,001445783;0,004590193;0,014169862;-0,016786284;-0,799480519;0,032107295;0,033333333;-0,007358768;0,001891872;0,006341729;-0,025979531;0,020006318;-0,061533399;0,033096195;0,040652328
31.12.2013;5;0,073183346;-0,01327129;0,005130125;-0,101688407;3,583333333;-0,038209714;0,188202247;0,095409231;0,015968064;0,022921043;0,010649367;-0,067092338;-0,016504854;0,011070803;-0,06082131
30.09.2013;5;0,163182433;-0,115572559;-0,130231021;0,076399423;-0,706498952;0,059755592;-0,001402525;0,014430289;0,039738663;0,063958457;0,002823298;0,009319849;0,014445174;-0,04577738;0,005131638
28.06.2013;5;-0,071498394;0,052518427;0,145892906;-0,26116021;0,121473354;-0,006890877;-0,114065606;0,022028721;0,014899758;0,000986972;0,011924725;-0,049745619;-0,053449347;-0,087269162;-0,093629929
28.03.2013;5;0,352152568;-0,282238798;-0,21837836;-0,143990171;2,411764706;0,058919625;0,200835571;0,11243406;-0,028348367;-0,065026146;0,003365115;-0,079444926;-0,016804155;0,006635227;0,014150943
31.12.2012;5;-0,014147431;0,043942605;0,041472806;0,007551235;-0,328545781;-0,00401345;0,009337349;-0,025111334;0,025894246;0,005443187;0,008674335;-0,101325019;0,020579981;-0,035693512;-0,01135442
28.09.2012;5;0,236363636;-0,159437643;-0,163177959;-0,034048583;0,014571949;0,08509887;0,175637394;0,042508145;0,015236441;0,029286305;0,011058151;0,023942538;0,038200065;0,04741069;-0,007845504
29.06.2012;5;-0,26293469;0,356021851;0,413939085;0,07907416;0,00733945;-0,175305766;0,328316087;-0,02555481;-0,050663269;-0,018803098;-0,009567571;0,038283063;-0,094665885;-0,080093748;-0,091888929
30.03.2012;5;0,037852113;-0,004060579;-0,011942431;0,118077873;-5,160305344;0,042396034;-0,288725326;0,080457595;0,029473034;0,029917004;0,00094506;-0,07176371;0,097812098;0,0427691;0,020697371
30.12.2011;5;0,082729699;-0,032175509;-0,092335017;0,101913047;-1,439597315;0,247853535;-0,18466994;0,118662849;-0,031821917;-0,002630903;0,013149496;0,001386428;0,002580645;-0,078572478;0,008461828
30.09.2011;5;-0,298287854;0,438416371;0,425764125;0,008669012;-0,509060956;-0,169985328;-0,161865569;-0,12159534;-0,076885947;-0,029215723;0,012604227;0,0459196;-0,135768051;-0,088527955;-0,168672815
